Date,min_t,max_t
2009-01-01,-0.9,2.1
2009-01-02,-3.1,2.3
2009-01-03,-1.6,1.9
2009-01-04,-4,-0.4
2009-01-05,-1.2,0.4
2009-01-06,-6.9,-3.9
2009-01-07,-8.9,1.1
2009-01-08,-1.6,1.8
2009-01-09,-6.4,-0.3
2009-01-10,-6.3,2
2009-01-11,-6.3,3.6
2009-01-12,-2,5.9
2009-01-13,3.1,6
2009-01-14,3.2,5
2009-01-15,1,6
2009-01-16,0.2,5.7
2009-01-17,4.8,8.9
2009-01-18,5.8,9
2009-01-19,4.7,12.2
2009-01-20,1.9,6.3
2009-01-21,1.3,3.9
2009-01-22,2.3,11.7
2009-01-23,6.6,11.6
2009-01-24,3,6.7
2009-01-25,1.4,7.5
2009-01-26,3.1,5.3
2009-01-27,2.9,6
2009-01-28,2,3.9
2009-01-29,-2,4.3
2009-01-30,-0.9,5.2
2009-01-31,-1.1,4.9
2009-02-01,-2.2,2.4
2009-02-02,-1.4,5.5
2009-02-03,-2.5,2.9
2009-02-04,-3.1,5.6
2009-02-05,1.8,10.2
2009-02-06,3.3,11.3
2009-02-07,0.7,4.7
2009-02-08,0.3,6.4
2009-02-09,1,11.8
2009-02-10,4.4,6.4
2009-02-11,1,7.2
2009-02-12,1.6,5
2009-02-13,0.4,3.2
2009-02-14,1,4.7
2009-02-15,-0.5,6.1
2009-02-16,3.9,9.2
2009-02-17,5.8,10.6
2009-02-18,4.7,6.6
2009-02-19,-1,8.1
2009-02-20,5.8,9.7
2009-02-21,5.1,9.4
2009-02-22,5.8,9.4
2009-02-23,6.8,8.6
2009-02-24,5.6,7.8
2009-02-25,2.6,10.5
2009-02-26,3.4,9.4
2009-02-27,3.9,8.6
2009-02-28,2.6,14.6
2009-03-01,5.6,13.7
2009-03-02,6.5,9.4
2009-03-03,2.4,11.6
2009-03-04,4,6.9
2009-03-05,-0.3,5.8
2009-03-06,2.9,9.4
2009-03-07,1,11.7
2009-03-08,7.2,10.9
2009-03-09,4.1,10.6
2009-03-10,5.8,12.9
2009-03-11,4.4,12.2
2009-03-12,6.3,13.2
2009-03-13,8.2,13
2009-03-14,5.7,12.8
2009-03-15,6,14.2
2009-03-16,5.9,15.3
2009-03-17,6.5,16.8
2009-03-18,6.5,17.2
2009-03-19,5.7,16.5
2009-03-20,4.5,12.5
2009-03-21,2.6,12.7
2009-03-22,4.4,11
2009-03-23,4.9,15.2
2009-03-24,3.4,9.8
2009-03-25,4.6,11.4
2009-03-26,6.8,10.2
2009-03-27,6.7,11.7
2009-03-28,5.1,11.1
2009-03-29,3.5,11.1
2009-03-30,3.5,12
2009-03-31,4.3,14.9
2009-04-01,5.3,17.3
2009-04-02,7.9,19.1
2009-04-03,8.9,18.6
2009-04-04,7.4,15
2009-04-05,8.6,16.5
2009-04-06,9.8,21.2
2009-04-07,10.6,16.3
2009-04-08,7,13.5
2009-04-09,11.7,21
2009-04-10,12.3,20.4
2009-04-11,10.6,20.8
2009-04-12,11.6,19
2009-04-13,9.3,19.4
2009-04-14,12.1,20.3
2009-04-15,12.9,21.8
2009-04-16,10.4,14.5
2009-04-17,9.2,16.4
2009-04-18,9.1,11.3
2009-04-19,10.1,17.2
2009-04-20,9.8,20.4
2009-04-21,9,20.5
2009-04-22,9.2,19.7
2009-04-23,8.3,19.3
2009-04-24,7.9,19.4
2009-04-25,8.9,14.5
2009-04-26,9.1,15.2
2009-04-27,8.5,16.6
2009-04-28,5,14.3
2009-04-29,8.1,15.6
2009-04-30,6,20.1
2009-05-01,9.6,21.5
2009-05-02,9.1,18.1
2009-05-03,9.9,14.3
2009-05-04,7.4,16.2
2009-05-05,8.9,16.3
2009-05-06,9.7,17
2009-05-07,8,24.5
2009-05-08,12.5,18.6
2009-05-09,10.7,17.2
2009-05-10,10.8,21.6
2009-05-11,13.9,15.7
2009-05-12,12,20.2
2009-05-13,13.8,21.6
2009-05-14,13.2,18.6
2009-05-15,11.5,16.2
2009-05-16,9.1,16.4
2009-05-17,9.9,16.7
2009-05-18,8.1,19.5
2009-05-19,8.9,20.2
2009-05-20,9.9,23.6
2009-05-21,14.3,22.9
2009-05-22,10.7,21.5
2009-05-23,11.6,22.7
2009-05-24,15.5,29.7
2009-05-25,18.2,30.1
2009-05-26,13.6,17.9
2009-05-27,8.3,16.6
2009-05-28,13.6,18.2
2009-05-29,13,23
2009-05-30,12.5,23.8
2009-05-31,13.8,23.8
2009-06-01,14.6,26
2009-06-02,15,24
2009-06-03,13.3,23.2
