Date,min_t,max_t
2008-01-01,3.6,6.3
2008-01-02,0.1,2.7
2008-01-03,-1.4,6.1
2008-01-04,4.2,10.3
2008-01-05,6.2,9.5
2008-01-06,5.5,11.9
2008-01-07,7.5,11.2
2008-01-08,5,8
2008-01-09,5.9,9.9
2008-01-10,4,11.3
2008-01-11,8.5,11.2
2008-01-12,5.2,9.2
2008-01-13,5,9.2
2008-01-14,5.1,10.4
2008-01-15,7.8,9.3
2008-01-16,5.9,8.7
2008-01-17,5.6,11.6
2008-01-18,7.8,13
2008-01-19,12,14.9
2008-01-20,11.6,13.5
2008-01-21,9.5,11.8
2008-01-22,6.3,9.1
2008-01-23,3.5,11
2008-01-24,7.1,11
2008-01-25,3.5,10
2008-01-26,1.7,9.4
2008-01-27,-0.9,11.3
2008-01-28,2.4,7.3
2008-01-29,1.4,5.4
2008-01-30,2.1,5.2
2008-01-31,0,7.6
2008-02-01,3.9,7.2
2008-02-02,1,8.5
2008-02-03,-0.7,9.5
2008-02-04,5.6,8.1
2008-02-05,4,11.7
2008-02-06,9,12.9
2008-02-07,2.6,12
2008-02-08,2,12.6
2008-02-09,3.4,13.2
2008-02-10,2.8,11.8
2008-02-11,3.1,12
2008-02-12,3.1,11.8
2008-02-13,3.8,11.7
2008-02-14,1.5,6.2
2008-02-15,0.1,2.5
2008-02-16,-1.1,6.5
2008-02-17,-1.2,8.4
2008-02-18,0,11.1
2008-02-19,1.5,10.8
2008-02-20,6.7,9.7
2008-02-21,7.4,10.6
2008-02-22,7.7,14
2008-02-23,8.4,13.4
2008-02-24,3.7,16.5
2008-02-25,10.2,12.7
2008-02-26,8.8,11.8
2008-02-27,5.4,11.9
2008-02-28,7,13.1
2008-02-29,9.7,13.2
2008-03-01,11.3,14.1
2008-03-02,9.8,14.4
2008-03-03,6.8,10.9
2008-03-04,3.1,7.6
2008-03-05,1.2,7.5
2008-03-06,0.8,9.1
2008-03-07,7.2,10.4
2008-03-08,3.2,12.3
2008-03-09,7.2,10
2008-03-10,4.2,10.2
2008-03-11,6.3,14.5
2008-03-12,8.8,11.6
2008-03-13,6.4,11.9
2008-03-14,9,14.7
2008-03-15,7.3,17.5
2008-03-16,9.4,14
2008-03-17,6.2,9
2008-03-18,2.9,7.9
2008-03-19,3.9,9.1
2008-03-20,2.3,9.7
2008-03-21,4.3,10.4
2008-03-22,2.5,9.1
2008-03-23,0.1,7.1
2008-03-24,1.3,6.8
2008-03-25,1.3,7.5
2008-03-26,4.9,10.5
2008-03-27,5.1,10.7
2008-03-28,2.5,10.2
2008-03-29,4.5,13.7
2008-03-30,8.7,11
2008-03-31,5.4,14.2
2008-04-01,5.5,15.1
2008-04-02,8.5,13.4
2008-04-03,9.5,15.2
2008-04-04,4.9,15.9
2008-04-05,8.4,11.4
2008-04-06,2.3,9.8
2008-04-07,0,9.8
2008-04-08,1.8,9.3
2008-04-09,5.5,9.6
2008-04-10,4.6,13.5
2008-04-11,6.5,14.3
2008-04-12,5,14.6
2008-04-13,7.4,14.3
2008-04-14,6.1,11
2008-04-15,5.6,12.5
2008-04-16,3.1,14.3
2008-04-17,3.5,13
2008-04-18,6.9,15.1
2008-04-19,9.8,17.1
2008-04-20,9.5,17.3
2008-04-21,10.8,15.8
2008-04-22,9.1,19.4
2008-04-23,9.4,16.8
2008-04-24,6.3,19
2008-04-25,8.6,18.5
2008-04-26,9.3,21.7
2008-04-27,11.2,25.3
2008-04-28,9.6,16.1
2008-04-29,6.6,13.2
2008-04-30,8,14.9
2008-05-01,6.6,15
2008-05-02,7,18.7
2008-05-03,11.3,23.8
2008-05-04,12.6,25
2008-05-05,13.6,22.8
2008-05-06,12.3,23.9
2008-05-07,13.6,25.7
2008-05-08,13.7,26.8
2008-05-09,15,25.1
2008-05-10,16.7,27.3
2008-05-11,16.4,26.1
2008-05-12,14.8,26.5
2008-05-13,15.4,26.8
2008-05-14,17,27
2008-05-15,14.1,21.2
2008-05-16,12.2,23.2
2008-05-17,13,19.8
2008-05-18,11.6,17.8
2008-05-19,9.3,16.6
2008-05-20,9,19.5
2008-05-21,9.5,21.1
2008-05-22,14.6,20.9
2008-05-23,13.1,22.5
2008-05-24,16.6,22.4
2008-05-25,13.7,22.8
2008-05-26,15.5,19.8
