Date,min_t,max_t
2007-01-01,8.3,11
2007-01-02,5.6,8.5
2007-01-03,5.4,8.5
2007-01-04,7.4,11.5
2007-01-05,8.9,11.8
2007-01-06,10.5,13
2007-01-07,5.4,11.1
2007-01-08,9.3,13.7
2007-01-09,11.2,14.4
2007-01-10,9,13.3
2007-01-11,4.3,12.1
2007-01-12,7.6,12.6
2007-01-13,10.4,11.8
2007-01-14,6.9,11
2007-01-15,2.4,8.5
2007-01-16,6.2,10.9
2007-01-17,9.4,13.7
2007-01-18,11.5,15.6
2007-01-19,13.1,14.9
2007-01-20,10.3,14.3
2007-01-21,6.5,10.4
2007-01-22,2.9,8
2007-01-23,0.7,2.7
2007-01-24,0.3,3.3
2007-01-25,-2.2,0.2
2007-01-26,-2.9,4.3
2007-01-27,2.5,8
2007-01-28,1.9,7.1
2007-01-29,5.8,9.8
2007-01-30,6.4,9.2
2007-01-31,7.5,9.6
2007-02-01,6.2,11.4
2007-02-02,10,10.7
2007-02-03,4.7,10.2
2007-02-04,3.6,10.7
2007-02-05,4.6,6.6
2007-02-06,5.2,7.3
2007-02-07,0.6,5.8
2007-02-08,2,11.1
2007-02-09,3.7,10
2007-02-10,5.8,12.6
2007-02-11,8.6,13.6
2007-02-12,8.6,11.8
2007-02-13,8.1,10.8
2007-02-14,6.6,11.3
2007-02-15,2.9,10.6
2007-02-16,3.4,12.8
2007-02-17,6.9,18.1
2007-02-18,9.3,15.8
2007-02-19,5.9,9.7
2007-02-20,4.5,14
2007-02-21,9.3,13.6
2007-02-22,4.8,12.6
2007-02-23,7.5,11.5
2007-02-24,9.7,13.4
2007-02-25,6.5,9.9
2007-02-26,8.2,11.6
2007-02-27,6.1,13.2
2007-02-28,9.7,14
2007-03-01,9.3,13.1
2007-03-02,5.1,12.9
2007-03-03,8.4,13.7
2007-03-04,5.4,16
2007-03-05,7.7,13.4
2007-03-06,8.8,10.7
2007-03-07,6.9,12.2
2007-03-08,5.3,14.2
2007-03-09,7.3,12.9
2007-03-10,5.1,13.7
2007-03-11,4.4,15.2
2007-03-12,4.4,16.1
2007-03-13,5.1,14.8
2007-03-14,6.4,14.9
2007-03-15,5.5,15.2
2007-03-16,4.6,13.6
2007-03-17,7.8,11.8
2007-03-18,8.3,10.6
2007-03-19,2.1,6.9
2007-03-20,1.6,8.1
2007-03-21,2.3,8.2
2007-03-22,4.4,9.3
2007-03-23,2.1,6.1
2007-03-24,3,7.1
2007-03-25,6,10.7
2007-03-26,4.3,15.6
2007-03-27,6.9,17.3
2007-03-28,6.5,18.8
2007-03-29,7.2,12.7
2007-03-30,3.3,7.5
2007-03-31,3.2,8.5
2007-04-01,7.2,16.5
2007-04-02,9.1,19.9
2007-04-03,8.2,14
2007-04-04,4.2,12.3
2007-04-05,4.9,16.4
2007-04-06,7.6,19.7
2007-04-07,6.3,16.3
2007-04-08,6.7,17.1
2007-04-09,8.2,19.3
2007-04-10,8.9,19.4
2007-04-11,10.2,20.3
2007-04-12,10.2,24.1
2007-04-13,14.7,25
2007-04-14,15.1,26.3
2007-04-15,14.7,26.7
2007-04-16,13.9,25.6
2007-04-17,11.5,20.3
2007-04-18,8.4,17.7
2007-04-19,7.9,19.9
2007-04-20,9.4,20.7
2007-04-21,8.3,21.6
2007-04-22,9.9,24.8
2007-04-23,12.1,25.4
2007-04-24,12.9,26.7
2007-04-25,14.2,28.3
2007-04-26,13.2,25.7
2007-04-27,14,26.4
2007-04-28,14.9,26.9
2007-04-29,15.7,24.9
2007-04-30,13.5,24.2
2007-05-01,12.7,24
2007-05-02,12,21.9
