Date,min_t,max_t
2007-05-03,10.6,22.6
2007-05-04,10.5,20.8
2007-05-05,10.2,17
2007-05-06,7.6,19.4
2007-05-07,13.3,19.4
2007-05-08,12.3,20
2007-05-09,15.1,19
2007-05-10,12.9,24.2
2007-05-11,12.6,18.1
2007-05-12,12.6,20.7
2007-05-13,12.2,24
2007-05-14,12.7,18.3
2007-05-15,9.2,16.7
2007-05-16,11.4,18.1
2007-05-17,12,17.6
2007-05-18,15.1,25.1
2007-05-19,14.1,19.9
2007-05-20,10.3,15.3
2007-05-21,12.9,24.9
2007-05-22,15.1,21.5
2007-05-23,13.6,23.3
2007-05-24,15.4,27.1
2007-05-25,16.2,28.3
2007-05-26,15,21.5
2007-05-27,9.7,14.4
2007-05-28,9.2,15.7
2007-05-29,7.6,16.8
2007-05-30,9,17.1
2007-05-31,9.6,20.7
2007-06-01,9.8,18.4
2007-06-02,11.8,24.5
2007-06-03,14.4,24.4
2007-06-04,16.6,24.3
2007-06-05,15.2,25.4
2007-06-06,15.4,26.5
2007-06-07,15,22.8
2007-06-08,17.2,23.2
2007-06-09,16.8,24.4
2007-06-10,15.8,25.9
2007-06-11,16.8,24.5
2007-06-12,15,23
2007-06-13,15.8,26.1
2007-06-14,16.2,23.8
2007-06-15,15.1,22
2007-06-16,14.3,21.7
2007-06-17,11.8,23.2
2007-06-18,14.5,25.7
2007-06-19,17.7,31.6
2007-06-20,15.1,24.7
2007-06-21,15.9,23
2007-06-22,14.6,19.1
2007-06-23,14.8,22.4
2007-06-24,13.8,23
2007-06-25,14,20.6
2007-06-26,12.7,17.1
2007-06-27,11.7,18.8
2007-06-28,12.8,19.1
2007-06-29,14.1,18.6
2007-06-30,15.3,23.3
2007-07-01,17,23.5
2007-07-02,14.9,22.7
2007-07-03,13.4,22
2007-07-04,12.8,19.1
2007-07-05,13.7,20
2007-07-06,14.5,22.2
2007-07-07,14.4,22.5
2007-07-08,14.4,20.7
2007-07-09,11.5,18
2007-07-10,11.8,18.1
2007-07-11,13.3,20.6
2007-07-12,13.1,21.2
2007-07-13,15.7,30
2007-07-14,18.7,30.8
2007-07-15,18.5,33.3
2007-07-16,18.7,26.7
2007-07-17,13.9,25.8
2007-07-18,16.9,25.7
2007-07-19,16.5,27.4
2007-07-20,18,23.8
2007-07-21,14,23.2
2007-07-22,12.6,23.1
2007-07-23,15.1,20.1
2007-07-24,14.9,23.1
2007-07-25,13.5,24.8
2007-07-26,14.8,25.2
2007-07-27,15.8,23.4
2007-07-28,17.7,21.9
2007-07-29,16.1,21.4
2007-07-30,12.7,22
2007-07-31,11.6,22.7
2007-08-01,13,27.3
2007-08-02,15.7,22.8
2007-08-03,14.8,25
2007-08-04,15.2,28.6
2007-08-05,17.3,33.3
2007-08-06,16.8,20.4
2007-08-07,13.6,23.4
2007-08-08,13,18.1
2007-08-09,12.7,18.8
2007-08-10,13.7,18
2007-08-11,15.9,21.5
2007-08-12,15,25.2
2007-08-13,14,22.9
2007-08-14,14.2,24.3
2007-08-15,18.5,21.1
2007-08-16,14.9,20.7
2007-08-17,13.2,20
2007-08-18,11.6,22.1
2007-08-19,14.3,20.5
2007-08-20,12.8,19.1
2007-08-21,12.3,22.8
2007-08-22,15.8,19.1
2007-08-23,15.9,19.5
2007-08-24,16.7,21.5
2007-08-25,15.2,25.3
2007-08-26,15.8,26.1
2007-08-27,14.2,22.8
2007-08-28,13,18.4
2007-08-29,12.4,20.5
2007-08-30,11.1,21.1
2007-08-31,16.1,21
2007-09-01,15.8,21.2
2007-09-02,15.6,21.5
2007-09-03,14.9,18
2007-09-04,11.8,18.9
2007-09-05,9.9,19.7
2007-09-06,15.8,21.3
2007-09-07,15.9,21.8
2007-09-08,14.2,23.7
2007-09-09,15.1,21.4
2007-09-10,11.9,20
2007-09-11,11.8,18.4
2007-09-12,11.1,20.1
2007-09-13,11.2,22.6
2007-09-14,12.5,22.6
2007-09-15,14.9,22.9
2007-09-16,12.7,26.4
2007-09-17,12.5,21.3
2007-09-18,11,15.5
2007-09-19,7.6,16.5
2007-09-20,7.8,19.8
2007-09-21,8.2,22.5
2007-09-22,12,20.6
2007-09-23,13.5,22.2
2007-09-24,13.6,18.1
2007-09-25,9.8,17.5
2007-09-26,9.8,15.4
2007-09-27,9,15.8
2007-09-28,12.3,14.1
2007-09-29,11.9,17
2007-09-30,7.4,19.5
2007-10-01,14.4,21.9
2007-10-02,16.4,21.6
2007-10-03,16.2,21.5
2007-10-04,14.8,16.9
2007-10-05,12,17.7
2007-10-06,9.7,20.1
2007-10-07,8.9,19.3
2007-10-08,10.5,17.5
2007-10-09,11.1,18.2
2007-10-10,11,16
2007-10-11,11.4,15.7
2007-10-12,10.3,17.2
2007-10-13,12.5,16.7
2007-10-14,9,18.3
2007-10-15,9.2,15.9
2007-10-16,8.5,21.3
2007-10-17,11.4,16
2007-10-18,8.7,14.6
2007-10-19,6.7,13.2
2007-10-20,5.7,11.7
2007-10-21,3.5,12
2007-10-22,7.4,12
2007-10-23,2.7,10.8
2007-10-24,2.8,10.6
2007-10-25,6.3,10.5
2007-10-26,9.3,10.6
2007-10-27,9,11.3
2007-10-28,5.4,11.7
2007-10-29,8,11.5
2007-10-30,6.5,12.9
2007-10-31,5.5,13.2
2007-11-01,6.6,13.6
2007-11-02,11.3,14.1
2007-11-03,12.7,14.4
2007-11-04,10.9,13.4
2007-11-05,7.3,13
2007-11-06,8.3,11.5
2007-11-07,6.1,11.7
2007-11-08,10.2,13.4
2007-11-09,5.7,9.4
2007-11-10,4.7,12.9
2007-11-11,10.3,13.3
2007-11-12,4.9,8.8
2007-11-13,3.5,8.6
2007-11-14,6.2,8.4
2007-11-15,2.3,5.3
2007-11-16,-0.2,4.9
2007-11-17,-0.3,7.1
2007-11-18,-0.7,4.6
2007-11-19,1.9,8.7
2007-11-20,7,12.7
2007-11-21,9.8,13.4
2007-11-22,5.7,13.7
2007-11-23,6.9,9.3
2007-11-24,2.5,8.2
2007-11-25,4.6,10.7
2007-11-26,7.3,9.8
2007-11-27,5.4,10.6
2007-11-28,0.9,5.6
2007-11-29,0.1,9.9
2007-11-30,4.6,10
2007-12-01,7.8,11
2007-12-02,7.7,11.8
2007-12-03,8.3,11.1
2007-12-04,7.2,11.1
2007-12-05,10.2,13.3
2007-12-06,9.2,13.8
2007-12-07,7.9,13.7
2007-12-08,4.6,11.1
2007-12-09,7.9,10
2007-12-10,7.3,8.9
2007-12-11,4.3,7.5
2007-12-12,2.1,7.1
2007-12-13,1,6
2007-12-14,0.4,2.2
2007-12-15,-0.2,3
2007-12-16,-2.3,1.8
2007-12-17,-1,0.9
2007-12-18,-2.3,0.8
2007-12-19,-3.6,0.9
2007-12-20,-3.1,2.7
2007-12-21,-2.2,5.4
2007-12-22,-1.7,7.3
2007-12-23,-0.7,8
2007-12-24,-1.7,6
2007-12-25,-0.1,4.5
2007-12-26,1.1,4.9
2007-12-27,2.8,7
2007-12-28,4.5,6.9
2007-12-29,4.9,9.4
2007-12-30,5,9.2
2007-12-31,5.5,8.1
